Sentence1	Sentence 2
Name of company (insured)	Company Name 
Name of company (insured)	If yes, Please provide the name of the top 10 critical providers? 
Name of company (insured)	Who is responsible for IT security within your organisation (by job title)? 
Name of company (insured)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Name of company (insured)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Address of registered or principal office	Primary Address (Address, County, Postcode, Country 
Address of registered or principal office	Website address? 
Address of registered or principal office	Company Name? 
Address of registered or principal office	Who is responsible for IT security within your organisation (by job title)? 
Address of registered or principal office	Number of employees? 
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	Company Name 
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	Please provide the following details for your top 5 clients? 
Primary website domain / URL	Website address 
Primary website domain / URL	Primary Address (Address, County, Postcode, Country? 
Primary website domain / URL	Company Name? 
Primary website domain / URL	Revenue From US Sales (%)? 
Primary website domain / URL	If yes, Please provide the name of the top 10 critical providers? 
Date of establishment	Date established 
Date of establishment	Company Name? 
Date of establishment	Description of Business Activites? 
Date of establishment	Website address? 
Date of establishment	Number of employees? 
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Description of Business Activites 
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Last 12 Months Gross Revenue($)? 
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Please provide the following details for your top 5 clients? 
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	Company Name 
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	Number of employees? 
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Please attach CVs of Directors	Who is responsible for IT security within your organisation (by job title)? 
Please attach CVs of Directors	Company Name? 
Please attach CVs of Directors	Please provide the following details for your top 5 clients? 
Please attach CVs of Directors	Number of employees? 
Please attach CVs of Directors	If yes, Please provide the name of the top 10 critical providers? 
Please confirm your total number of employees	Number of employees 
Please confirm your total number of employees	Please provide the following details for your top 5 clients? 
Please confirm your total number of employees	Company Name? 
Please confirm your total number of employees	Who is responsible for IT security within your organisation (by job title)? 
Please confirm your total number of employees	If you ticked on others, please specify? 
Is the company authorised and regulated by the Financial Conduct Authority?	Who is responsible for IT security within your organisation (by job title)? 
Is the company authorised and regulated by the Financial Conduct Authority?	Company Name? 
Is the company authorised and regulated by the Financial Conduct Authority?	If yes, Please provide the name of the top 10 critical providers? 
Is the company authorised and regulated by the Financial Conduct Authority?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Is the company authorised and regulated by the Financial Conduct Authority?	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Is the company authorised and regulated by any other regulator?	Who is responsible for IT security within your organisation (by job title)? 
Is the company authorised and regulated by any other regulator?	If yes, Please provide the name of the top 10 critical providers? 
Is the company authorised and regulated by any other regulator?	Company Name? 
Is the company authorised and regulated by any other regulator?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Is the company authorised and regulated by any other regulator?	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Last 12 Months Gross Revenue($) 
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Revenue From US Sales (%)? 
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach. 
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Please provide the following details for your top 5 clients? 
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Company Name? 
Please confirm geographical split of fee income/turnover by client / customer base	Revenue From US Sales (%) 
Please confirm geographical split of fee income/turnover by client / customer base	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Please confirm geographical split of fee income/turnover by client / customer base	Please provide the following details for your top 5 clients? 
Please confirm geographical split of fee income/turnover by client / customer base	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Please confirm geographical split of fee income/turnover by client / customer base	Last 12 Months Gross Revenue($)? 
If you have entered a Rest of the World number, please list applicable countries below	Primary Address (Address, County, Postcode, Country 
If you have entered a Rest of the World number, please list applicable countries below	If you ticked on others, please specify? 
If you have entered a Rest of the World number, please list applicable countries below	Number of employees? 
If you have entered a Rest of the World number, please list applicable countries below	If yes, Please provide the name of the top 10 critical providers? 
If you have entered a Rest of the World number, please list applicable countries below	Please provide the following details for your top 5 clients? 
Do you use a standard form of contract, agreement or letter of appointment with regard to services performed?	Description of Business Activites 
Do you use a standard form of contract, agreement or letter of appointment with regard to services performed?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do you use a standard form of contract, agreement or letter of appointment with regard to services performed?	Who is responsible for IT security within your organisation (by job title)? 
Do you use a standard form of contract, agreement or letter of appointment with regard to services performed?	Please provide the following details for your top 5 clients? 
Do you use a standard form of contract, agreement or letter of appointment with regard to services performed?	Company Name? 
Do you engage in business to business (B2B) contracts? (Yes / No) (Show optional when yes)	Description of Business Activites 
Do you engage in business to business (B2B) contracts? (Yes / No) (Show optional when yes)	If you ticked on others, please specify? 
Do you engage in business to business (B2B) contracts? (Yes / No) (Show optional when yes)	Please provide the following details for your top 5 clients? 
Do you engage in business to business (B2B) contracts? (Yes / No) (Show optional when yes)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do you engage in business to business (B2B) contracts? (Yes / No) (Show optional when yes)	Date established? 
Please list the five largest contracts undertaken during the last 3 years	Please provide the following details for your top 5 clients 
Please list the five largest contracts undertaken during the last 3 years	If yes, Please provide the name of the top 10 critical providers? 
Please list the five largest contracts undertaken during the last 3 years	Last 12 Months Gross Revenue($)? 
Please list the five largest contracts undertaken during the last 3 years	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
Please list the five largest contracts undertaken during the last 3 years	Company Name? 
Do your standard delivery / contract terms: accept liability for consequential or indirect losses? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do your standard delivery / contract terms: accept liability for consequential or indirect losses? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Do your standard delivery / contract terms: accept liability for consequential or indirect losses? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Do your standard delivery / contract terms: accept liability for consequential or indirect losses? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Do your standard delivery / contract terms: accept liability for consequential or indirect losses? (Yes/No)	Description of Business Activites? 
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	Description of Business Activites? 
Do your standard delivery / contract terms: include any form of liquidated damages? (Yes/No)	If yes, Please provide the name of the top 10 critical providers 
Do your standard delivery / contract terms: include any form of liquidated damages? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do your standard delivery / contract terms: include any form of liquidated damages? (Yes/No)	Description of Business Activites? 
Do your standard delivery / contract terms: include any form of liquidated damages? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Do your standard delivery / contract terms: include any form of liquidated damages? (Yes/No)	Company Name? 
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	If yes, Please provide the name of the top 10 critical providers 
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	Please provide the following details for your top 5 clients? 
